,Text,Sentiment
18,به نظرم نامه مربوط به #اصلاح_اصلاحات به #سید_محمد_خاتمی صرفا در جهت زدودن افکار و اعمالی است که ما به جریان رقیب انتقاد داریم ولی کسانی با نام اصلاحطلبی اونا رو انجام میدن، وقتی در انتخابات انجمن اسلامی اصلاحطلبِ دانشگاه دست به رد صلاحیت میزنند پس باید این اصلاحات انجامپذیرد.,Neutral
19,فردا پنجشنبه ۴ بهمن یا ۲۴ ژانویه روز جهانی آموزشه. به همین مناسبت #ما_رنگین_کمانیها تصمیم گرفتیم که با هشتگهای #تو_هم_بگو و خشونت_تحصیلی در این باره بنویسیم. شما هم با هر #گرایش_جنسی و #هویت_جنسیتی میتونین با ما همراه بشید. #همجنسگرا #دوجنسگرا #ترنس #رنگینکمانی,Neutral
20,لغات و جملات کلیدی برای حفظ آرامش در زندگی: باشه، اینجور خوشم میاد، نه، نه، خوشم نمیاد، هر جور صلاح میدونی، نمیدونم، دوست ندارم جواب بدم، شخصیه، هر جور راحتی، ترجیح میدم که ...,Neutral
22, غلط کرده!!! چنان سونامی خشم ملت آغاز شود که آغا و بیت و نصراله و اسد در این سونامی تکه تکه بشوند!!! حالا متتطر بمانید ! اندکی صبر سحر نزدیک است!,Negative
26,حامیان نظم موجود:مطمئنی قاتل نبودن؟فتوشاپ نیست؟توباچشم خودت دیدی؟اگر واقعی باشه خوب نیست؟مال دوران خشونت و هرج و مرج سیاسیه!جزو زیاده رویهای خودسرانه بود!برخورددرشرایط جنگی بامتحدین امریکاست!توانقلاب ازاین اتفاقات تلخ میافته!مقصرگروههای مخالفند نه خط امام!لازم باشه بازهم میکنیم.,Neutral
27,یجادیدم نوشته:شعبده بازلبخند،درکلاه درد...عجب جمله ای،بمن که چسبید،دم اونکه اینونوشته،گرم,Positive
28,انتصاب رئیس جدید قوه قضائیه در آینده نزدیک قطعی است؛ عاجزانه از رئیس تازه نفس میخواهم تا سر و سامانی به نظام اطلاع رسانی فَشَل قوه بدهد؛ شاید تعطیل کردن برخی رسانههای این قوه، مایه تقویت باشد احیای دیدارهای مردمی رئیس وجلوگیری از اظهارات نسنجیده بعضی مسئولان قضایی هم، ضروری است,Neutral
30,حالا همینا که به گوگوش گیر دادن ب مکرون رئیس جمهور فرانسه میگفتن عجب حرکت خفنی زده با یکی ۲۰ سال بزرگتر از خودش ازدواج کرده ، تازه گوگوش خیلی خوشگل تر و جذاب تر از زن مکرونه,Positive
31,بعضیا هم از اونور بوم افتادن و سال نو میلادی رو فقط به دوستان مسیحیشون تبریک گفتن!!! سال نو واسه همه و همه جاست عزیز جان :),Neutral
32,چقدر خوشحال شدم سرگروه این تیمه تو برنامه شب جمعه من و تو اون دختره نیست... رو اعصابم بود,Positive
33,اعصابم کیری تر از اون چیزیه که فکرشو بکنی,Negative
35,این کلیپ محجبه شدن شاخ های اینستاگرام رو می بینم همش اين جمله میاد تو ذهنم که وقتی می خوای یه چیزیو نابود کنی یا هوشمندانه بهش حمله کن یا احمقانه ازش دفاع کن,Neutral
36,کاش یه روز که دارم سیگار میکشم یه پیرمرد بیاد بگه پسرم نکش ضرر داره.منم یه نگاه بهش بکنمو بگم باشه و سیگارو زیر پام له کنم.اونم بگه افرین بیا این یه میلیارد مال تو *_*,Neutral
37,تفریح با خانواده یعنی من گاییده شدن اعصابم را دوست دارم.,Negative
39,عزیزان آیا مستندی با موضوع جنگ دیدین که به شدت تکونتون داده باشه؟ #ریتوییت هم بکنین که عالی میشه.,Neutral
41,لعنت به اون روبالشی که پاکتش روی کار دوخته شده. …,Negative
42,به توییتر حس خیلی خوبی دارم اینجا خودمم خود واقعیم هیچ ترسی از قضاوت شدن ندارم لزومی برا پنهان کاری نیس لازم نیس حرفامو ( هرچقدم گاهی چرت و رو مخ باشن ) قورت بدم برعکس اینستا که حس میکنم هزار نفر چارچشمی زل زدن بهم ! اینستاگرامم به طرز وحشتناکی تهوع آور شده,Negative
43,دوستت دارم ولی این ماهِ دی را صبر کن...! کافه گردی ها بماند بعدِ فصلِ امتحان...! صادق ابراهیم زاده,Neutral
44,چند سال است یک حرکت موذیانهای شروع شده در تطهیر رژیم طاغوت، رژیم پهلوی. هدفش این است که یک جوان امروز بگوید «عجب! اینها آدمهای بدی نبودند، اوضاع بدی نبود؛ پس چرا انقلاب کردید؟». اصلاً همه برمیگردد به مسئله زیر سؤال بردن انقلاب؛ اینها از خارج دارد انجام میگیرد.,Neutral
45,من سعی کردم در انتخاب کلمات دقت کنم و بخاطر همین از کلمهی «انتقاد» استفاده کردم، یعنی اینکه نظری رو دارم تایید (endorse) میکنم که باهاش موافق هستم، و البته مخالف یک سری از نظرهای دیگه است (بخاطر همین انتقاد)؛ ولی قضاوتی در مورد درستی یا نادرستی هیچکدوم انجام نمیدم. …,Neutral
46,یه پروژه ی سخت دیگه هم با موفقیت تموم شد . بریم برای سونا و چکوزی که بشوره و ببره :),Positive
47,"کیفیت صداش فوق العادس، فعالیت ورزشی رو هم با نصب نرم افزارهاش تحت نظر میگیره. تو شگفت انگیز مناسبه""",Neutral
48,بعد الان که فکر میکنم میبینم رزومه ندم بهتره اصلا ،چون حتی مصاحبه بدم و ... نمیتونم برم فکر کنم! نمیدونما.حالا روش فکر مینمایم:)),Neutral
50,دلت همیشه شاد بهاری باشه عزیزم❤️❤️❤️❤️,Positive
51,چرا یه دختر باید به حدی از تنفر رسیده باشه که بگه از همه پسرها متنفرم کاش با هم در صلح و محبت بودیم این نگاه خیلی ترسناک,Negative
53,حالا اون انتخابهای بین بد و بدتر خیلی از رای دهندگان که داستان جدایی بوده و ارتباط چندانی به این موضوع امیدِ به موفقیت اصلاحاتی پایدار در ساختار حکومتی ایران نداشت.,Neutral
54,میخوام یه فحش رو بذارم کنار امروز فهمیدم فقط تو رانندگی اونم وقتی اعصابم رو خورد میکنن میگم!چیکار کنم؟؟؟ پ ن: فحشش خیلی زشته,Negative
55,تو توییتر نسبت به دونفر حس تنفر شدیدی دارم و با افتخار بلاکشون کردم یکیشون خانوم اند و فوق العاده خودخواه و از خود راضی اونیکی هم یه اقای به ظاهر انقلابی بی ادب که تهمت بدی به بنده زدند,Negative
56,معلومه که آقایون باید ناراحت باشن چونکه اصن این حرفها به نفعشون نیست .اما همین آقایون همین حرفهارو واسه دخترای خودشون صادق میدونن,Neutral
58, بعد از اینکه به دستم رسید چون راضی بودم میخواستم یکی دیگه سفارش بدم ولی دیدم قیمتش رفته بالاعجب عکس پرمعنایی مردم، زیر چتر امنیتی که موشکهای بالستیک برای کشور ایجاد کردهاند، در راهپیمایی 22 بهمن حضور یافتهاند عقلانی است که این توان مهم را به چوب حراج مذاکره بگذاریم؟ #۲۲بهمن_تماشایی #22Bahman,Positive
61,تصویر جنجال برانگیز مسئولان خوزستان,Neutral
64,شب چهارشنبه آخر سال فرصتی است ویژه که در کنار پاسداشت آیینی ملی و در جمع خانواده، تجربهی ارزشمند شادی جمعی و ایمن را به فرزندانمان بیاموزیم.,Positive
65,"این یک نظریه است که رولف دوبلی در کتاب ""هنر خوب زیستن"" به آن ""ovarian lottery"" یا ""لاتاری تخمدانی"" میگوید طی نظرسنجی مردم به طور میانگین فکر میکنند ۶۰درصد موفقیت کار خودشان بوده و ۴۰درصد کار شانس، در حالیکه به اعتقاد آقای دوبلی نسبت واقعی چیزی نزدیک به ۹۴ به ۶، به نفع شانس است …",Neutral
66,شعله ور شدن و ترکیدن باتری های غیر استاندارد در فشارجیب یا گرما میتواند به این شکل حادثه آفرین شود. دیجیاتو,Neutral
67,سکه حبابی است که به دور دلار پیچیده شده و این حباب آدامسی است که مسئولان نالایق نشخوار کرده اند. #دلار #سکه #تورم #دولت #مجلس #ژن_خوب,Negative
68,سمت مخاطب نامهای که دارم روش کار میکنم این بود: جناب آقای فلانی! مدیر کل محترم توسعهٔ صادرات، امور گمرکی و ارزشافزودهٔ معاونت تولید، صادرات و فناوری دبیرخانهٔ شورای عالی مناطق آزاد تجاری صنعتی و ویژهٔ اقتصادی!,Neutral
69,كاش ديگران از روی خنده های عصبیم بفهمن که حرفای خاله زنکی و چرت که هرکسی میتونه پشت سر اون یکی بگه رو نه باور میکنم نه به جاییم هست نه تغییری تو دیدم به ادمی که دارن پشت سرش زر میزنن داره، حالا راجع به خودشون چرا. پ.ن. فقط یه چارتا خواص و از فیلتر رد شده هستن که حرفشون سنده برام,Negative
70,چرا تو بیو هاتون نمیزنید متعهد؟ چرا باعث میشین من سوتی بدم؟ چرا لامصبا چرا؟,Negative
71,پیشنهاد میکنم بخرید ت شگفت انگیز که شک نکنید,Neutral
72,عجب برف قشنگی تو . . .,Positive
73, اصن بیا اصفهان تا من توریست خشگلا رو نشونت بدم,Neutral
76, قیمتش به نسبت خیلی از ماسکها موها باتوجه به کاراییش مناسبه و تو پیشنهاد شگفت انگیز عالیهاستاد عزیزی که فکر میکردم امتحانتو بد دادم و صد در صد میوفتم ولی بهم ارفاق کردی و قبولم کردی #صبح_شما_هم_بخیر اصلا نمرمو دیدم اشک تو چشمام حلقه زد خیلی دلشاد شدم خدا دلتو شاد کنه استاد,Positive
77,امروز طبقه دوم استادیوم، آخر بازی همه داشتن فحش میدادن. یه درجه دار نیروی انتظامی هم جوگیر شد و خطاب به بازیکنا داد زد: «پفیوزا». همه خندیدن و من بهت زده باهاش چشم تو چشم شدم. خیلی معصومانه گفت: «والّا...»,Positive
81,بابا اینجا ایرانه! چند ساعت برنامه اونم برنامه زنده جا به جا شدن مگه چقدر عجیبه که انقدر شاکی شدین؟! کلا اموال آینده رو میشناسین؟ ایران مال و ... مگه این بانک ورشکست میشه که با یه شایعه شما به هم ریختین؟! بچه شدین عایا؟?,Positive
82,دانشجوی واقعی فرق بین غائله و جنبش دانشجویی رو میدونه و امروز دانشجویان امیرکبیر باید ثابت کنند که یه دانشجوی واقعی هستند و از روشن شدن حقیقت با اکران #هاشمی_زنده_است فرار نمی کنند.,Neutral
83,این ست ست خوبیه  اما یه مشکل بزرگ داره . اونم اینه که با این قیمت حتی بعد از شگفت انگیز اصلا توجیح اقتصادی نداره . شما صد تومن دیگه بذاری روش میتونی یه ست فرز مینیاتوری با دویست تا لوازم بخری . به نظرم باید قیمت کمتر بشه,Neutral
84, احمق تویی ترسو,Negative
85,تنها چیزی که از چهرهی دیگران زیاد تو ذهن آدم باقی میمونه مدلِ خندیدنشونه... روز بخیر لبت خندون رفیق,Positive
86,"عكس پرى درياييه!! مشترى خواسته بود واسه روى كيكش! اين ريپلاى مديريت هست بعد از ديدن عكس كيك. لطفا ديگه سفارشات غيرانسانىِ ""متأثر كننده"" نديد . ما جريمه ميشيم!! #شيرينى_الف",Neutral
87,از اینکه اینجا توییتر Vpn نمیخواد لذت میبرم و از این لذت حقیرانه شرمسارم,Positive
90,بوسکتس رو نزن وحشی,Negative
92," ""با سلامبامیلو لطفا بذارش داخل پیشنهاد های شگفت انگیز...",Neutral
93,هنوز با این همه وقتی که از فینال آسیا میگذره قبل هر مسابقه تبریک میگن بابات فینالیست شدن پرسپوليس. در میزان توجه به پرسپوليس فقط جمال خاشقچی میتونست رقابت کنه توی خبرهای ماه پیش بعد امروز پرسپوليس به صداوسیما نامه نوشته که عدالت رو رعایت کن لطفا,Neutral
95,در ۱۴مرداد ۱۳۸۴ کشورهای اروپایی پس از ۲ سال #تعلیق_داوطلبانه فعالیت های هسته ای ایران، در طرحی به صراحت خواستار تعطیلی کامل هسته ای شدند! ۶روز بعد #هفتمین قطعنامه علیه ایران در شورای حکام تصویب شد. ۴روز بعد ماموریت آقای روحانی در شورای عالی امنیت ملی با ۷ قطعنامه به پایان رسید,Neutral
96, من ادعا مردم ظریف به عنوان وزیر خارجه با توجه به شرایط بین المللی خوب و موفق عمل کرده من روی گوشی سامسونگ j7  pro استفاده میکنم کلید های کم و زیاد صداش هم کار میکنهزود در مورد مسایل منطقه و بحران های جاری نظر بدم نگن طرف فلانه #ایرانی,Neutral
97,خانوم مهستی داره میخونه و باید پاشم قر بدم بجا کد زدن,Positive
98,گزارش اختصاصی #مشرق از رابطه «پریوش سطوتی» با مسئولان ساواک/ دولت احمدینژاد از روابط پریوش با ساواک مطلع نبود؟+ اسناد #مشایی,Neutral
99,اینجوری که این داره برامون وقت میذاره اگه چهار روز دیکه زنگ بزنه تولدم رو تبریک بگه تعجب نمیکنم. …,Positive
102,من اخبارو دنبال نمیکنم و کلا هم بیحس هستم نسبت بهشون. ولی این روزا #نماينده_سراوان و #آتش_سوزی_مدرسه_زاهدان خیلی روی اعصابم رفته. در کنار فحش دادن و حرص خوردن سعی میکنم شبیه کسایی که دارم بهشون فحش میدم نباشم. بیمسئولیت و احمق و خودخواه و بیسواد و سهلانگار و مفتخور نباشم.,Negative
103, رنگ سفیدش خیلی جذابه کاملا انعطاف پذیر و حتی درایور هاش هم تنظیم میشن و کاملا روی سر ثابت هست.بيهوده بر قفل ها خشم مى ورزى درهاى همه زندان هاى جهان از درون باز مى شود. #رافائل_آلبرتى,Neutral
104, زشت تویی..زر نزن..دهنتم ببند..دوس دارم نظر بدم فضولی مگه,Negative
105,"من تو شگفت انگیز خریدم""",Positive
106,عجب چیزی بودا,Positive
107,من پول ندارم برا ریت بدم هر کی زده پس بگیره,Neutral
108,لعنت بر کسانی که اول بار حجاب از سر اهل بیت پیامبر برداشتند و لعنت به بازماندگان اونها .... #FreeMarziehHashemi …,Negative
109," ""باسلامیهو یاد بحثی پیرامون قافیهٔ یه بیت شعر افتادم که تو دبستان یا راهنمایی با یکی از دوستام داشتم و یه لحظه واقعاً اعصابم خورد شد!! پر واضح بود که حق با منه، ولی اون کژطبع جانور نمیفهمید. کلاً یعنی میخوام بگم شبا زود بخوابید وگرنه کسخل میشید.",Negative
110,پاره شدم ا خنده,Positive
111,ای لعنت بر این ویندوز ایکس پی سرویس پک 3!! پیر ما رو درآورد,Negative
114,از همه تخمه ژاپنی ها بدم میاد. نه واسه ایران که از ژاپن باخت. چون بد شکسته میشه دندونام اذیت میشن.,Negative
115,۶ و آخری. افکارتون رو کنترل کنید. منفیها رو دور کنید و فقط روی مثبتترین هدفتون تمرکز کنید. و برای حسن ختام، ممنون میشم #ریتوییت کنید که بقیه هم استفاده کنن و چقدرررر لطف میکنید اگه تجربهٔ مشابه از IBS داشتید رو اینجا منشن کنید که بقیه هم استفاده کنن. شاد باشید,Positive
116," ""در بسته بندی خوبی تحویل گرفتم رنگ مشکی رو در پیشنهاد شگفت انگیز خریداری کردم به نسبت قیمتی که گرفتم خوب است ،دیجیکالا لطفا   تو پیش نهاد شگفت انگیز بزارش لطفا بزار با قیمت   مطلوب",Neutral
122,یه برنامه تلوزیون نشون میداد که در ماه چقدر پول سیگار میشه و باهاش چه کارهایی که نمیشه توی یکسال کرد انقدر اعصابم خورد شد که دوتا سیگار پشت هم کشیدم,Negative
123,برخی کالاها در شگفت انگیز رضایت مشتریان را جلب می کنند لطفاً دیجی کالا کالاهای با قیمت رقابتی را بیشتر کند,Neutral
124,اعتراف به شکست،، عدم حضور مردم در خیابانها #صداوسیما را مجبور به پخش تصاویر آرشیوی کرد، در چهل سالگی عنقلاب خشم و نفرت مردم از رژیم به اوج خود رسیده است #سیرک۲۲بهمن,Negative
125,ی جوری میگن بهت نمیاد تک فرزند باشی انگار تک فرزندا شاخ و دم دارن!!,Positive
126,همسایه هندیم اومده میگه چیزی شده دود میاد از خونتون بیرون گفتم -نه من پنکیک درست کردم واسه اونه یه چند ثانیه ساکت شد گفت دود سوختگیه ها گفتم اهان یکی از پنکیکام سوخت ول کن نبود که اخرش مجبور شدم یه بشقاب پنکیک بش بدم تا بره الان برگشته میگه میشه دستور پختشم بم بدی,Neutral
127,الان از هر ۵ بچه ای که میاد درمانگاه یکیش اسمش مهرسانا عه ، میتونم این نوید رو بدم که ۲۰ سال دیگه تو دانشگاه صدا بزنی مهرسانا ، همه برمیگردن :)),Neutral
128,سالها پیش؛ مسابقه بوکس محمدعلیکلی را از تلویزیون نگاه میکردیم ! گزارشگر گفت: برنده یک میلیون و بازنده ۵۰۰هزار دلار میگیره ! یکی از بچهها گفت من برم با کلی مسابقه بدم یه مشت زد تا صد بشمارن بلند نمیشم عوضش نیممیلیون گیرم میاد! مثل #علیز که میخواد با #تاجزاده مناظره کنه !,Neutral
129,آیتالله امامیکاشانی:مسئولان تسلیم خواستههای دشمن نشوند/ دولتمردان برای حل مشکلات اقتصادی مردم همت کنند,Neutral
130,دقیقا میدونستم بیشعوری اون صاحب سگ تو لواسون دردسرش واسه ما میشه! ماشالله اینا هم دنبال بهونه!! یعنی به پرونده تجاوز و قتل اینقدر سریع رسیدگی نمیکردن و رای نمیدادنا! خدا لعنتتون کنه! الان همه مشکلات مردم حل شد؟! …,Negative
131,واسه همه باید توضیح بدم... چراویزام نیومده؟! حالا چی میشه؟! نکنه دلیلش فلانه؟! نکنه بهمانه!؟ آقا جان بکش بیرون، به تو چه؟ زندگیه خودمه میخوام بشاااشم توش!,Negative
132,دوست واقعی اونیه که در شادی ها و غم ها کنارت باشه. و از نبودنش دلت بگیره....,Neutral
134,به فرار مذبوحانه از تعطیلی میان هفته و غروب جانکاهش #نگاه_کن,Neutral
135,سلام صبح عالی متعالی برخیزید و سهم امروزتون از زندگی و شادی رو از دنیا بگیرید. فراموش نکنید که شادی حق مسلم ماست.,Positive
137," ""بوی ادکلن  ورساچهCrystal Noir میده. ولی کیفیتش خیلی پایین تره.اعصابم خرده و نمیدونم چرا همش قیافه ی سردار آزمون میاد تو ذهنم :/ دوست دارم با چَک از اردوی تیم ملی بیرونش کنم :/ …",Negative
138,ب صرفه تو شگفت انگیز,Neutral
139,یک نظم و قانونمندی تا یکی دودهه ی قبل درکشورحاکم بود که تاثیر دوچیز بود یک : دِین به شهدای انقلاب و جنگ تحمیلی دو:ترس از برخوردهای خشن بعد از انقلاب مثل اعدامها و... دومی تقریبا برای لابی گرها و مرد رندها با فساد موجود حل شده اما اولی هنوز بین دل مومنین انگیزه ایجاد میکنه,Neutral
143,"مامانم یه کمپین توی گروه فامیلی شروع کرده ""کمپین نخریدن میوه و آجیل شب یلدا "" جهت شرمنده نشدن پدرها پیش بچه ها و همدردی با کسایی که امکان خرید ندارند ایضا اعتراض به گرانی کل فامیل اعلام آمادگی کردند امسال یلدای ساده ای خواهیم داشت شما چطور عزیزانم؟ #یلدا",Neutral
145,ای لعنت بهتون که یه استادیوم رفتن باید واسمون آرزو باشه، لعنت... #letwomenin,Negative
148,عع عع عع الله اکبر این فیلمنامه نویس داره تو روز روشن همه رو فیلم میکنه؟؟؟؟!!!!جل الخالق عجب دروغ ناشیانه ای گفت!!!!,Positive
149,برای موفقیت و ثروتمند شدن خودتان هم که شده است، این کتاب را مطالعه کنید!,Neutral
150,"ولی از خریدش شگفت انگیز نشدم""",Neutral
151,اگه توی جهنم عذابها بخواد شخصیسازی بشه، احتمالا عذاب من این باشه که جواب هر سوالی رو باید در یک جملهی چندکلمهای کوتاه بدم.,Neutral
153,آيا سزاست براي اعتراض به تاخير يك ساعتي استاد براي امتحان برگه رو سفيد بدم؟!؟,Neutral
155,"همه این سالها که تنها زندگی کردم برف هنوز روی زمین ننشسته،با پارو میپریدم بیرون به پارو کردن تا نشون بدم نبودن""مرد""در خونه منجر به این نمیشه که برف رو زمین بمونه یا چمن کوتاه نشه.ولی دیروز کلی برف رو زمین نشست و دلم میخواست فسنجون بپزم و دیگه لازم نبود چیزی رو به دیگران ثابت کنم",Neutral
156,وضع مملکت به قدری عجیبه که اگه فردا دستهای گوسفند وحشی رو در حال پرواز ببینم نه تنها تعجب نخواهم کرد بلکه خودم هم با کمال میل بهشون ملحق خواهم شد,Positive
157,هر درخواستی از مسئولان میشه میگن در حال پیگیری هستیم . میخوایم صد سال مشکی پیگیری نکنید.,Negative
159,"دکمه ای برای قطع و وصل شارژ نداره و با وصل شدن به گوشی شروع به شارژ میکنه""",Neutral
161,فکنم باز یه کافهی اشتباه اومدم با این اعصابم,Negative
163,مرا بسپار در آغوشت برای همیشه آغوش تو هر بار که در برم میگیرد باشکوه ترین لحظه زندگیم را تجربه میکنم... تب کرده ام از گرمای آغوش تو هنگامی که دستانت را بر روی تنم و گرمای نفست را بر گردنم حس میکنم و خیس عرق میشوم از شرم بودنت ...,Neutral
165,دوستت دارم بیشتر از همه، کمتر از خدا,Positive
168,خوابم نمیاد. عجیبه. واقعا عجیبه.,Positive
169,-از همهی عربا بدم میاد بعد از اون از همهی خارجیا بدم میاد. +این نژادپرستی نیست؟ _نژادپرستی میخواد باشه یا نباشه، هرچی میخوان بگن چون وقتی به تاریخ مملکتم رجوع میکنم همین نژادپرستی پوست از سر کلهی ملت من کنده. ( كه من ريدم تو کلهی تو و تاریخ مملکتت و مملکت,Negative
171,بنظرم یه چیزی هست به اسم «فرهنگ اضافه کاری و اضافه کاری فرهنگی» یعنی ملت از فرط خشم میرن تظاهرات٬ بهشون گلوله شلیک میشه٬ گاز اشک آور میزنن٬ باتوم میزنن؛ بعد یه عده اینجا میگن واااای چرا سطل آشغال آتیش زدن؟؟ جمع کنین این اضافه کاریا رو تو رو خدا,Negative
172,"اما خوب توقع سامسونگ و ال جی نداشته باشین""",Positive
173,اعضای #کانونهای_شورشی کرمانشاه، در پاسخ به پیام شماره ۱۱ فرمانده ارتش آزادیبخش ملی ایران و اعلام آمادهباش مرحله سرنگونی اقدام به دیوارنویسی شعارهای « مرگ بر خامنهای – درود بر رجوی» در اماکن مختلف کرمانشاه کردند. #براندازم,Neutral
174,ندادن تریبون به تشکلهای سیاسی در برنامۀ رئیس جمهور، یعنی سیاستزدایی از دانشگاه با همراهی بالاترین سطوح مسئولان. #صدا_میرسه,Neutral
176,"میگید آریامهر محمدرضا دورگه بوده که، ازکجا میگم؟ مادرش در مورد اومدنشون به ایران میگه:«پدر مرحومم افسر عالی رتبه دیویزیون قزاق بود... در آن موقع ایران ارتش منظم نداشت و تزار روسیه یک لشکر از قزاقها را به واسطه درخواست شاه قاجار به ایران فرستاده بود که پدرم و ما اومدیم ایران """,Neutral
177,امروز در بروکسل دوهزار دانشآموزْ در اعتراض به تغییرات آب و هوایی تظاهرات کرده و گفتند بدون آب و هوای سالم، آیندهای نخواهيم داشت. این دانشآموزان معتقدند کاپیتالیسیم زندگیْ را کالایی کرده و دشمن اصلی زمین است. مبارزه با این دشمن نه به شعار بلکه در گرو اتحاد جوانان و کارگران است.,Neutral
179,یه زنگ تفریح عادی تو دبیرستان ما,Neutral
180,سنجش با خودش گفته دفترچهها رو جا به جا میکنم صداشم درنمیارم بچهها خودشون سر جلسه میفهمن اینطوری دیگه کسی وقت نمیکنه اعتراض کنه :|,Neutral
